[2026-04-02 23:15:20] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings_backup.bin
[2026-04-03 00:02:13] Saving 2 values; 44 bytes
[2026-04-03 00:02:14] Saving 2 values; 44 bytes
[2026-04-03 00:02:15] Saving 2 values; 44 bytes
[2026-04-03 00:11:29] Loaded 2 values
[2026-04-03 00:11:29] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 00:11:31] Saving 2 values; 44 bytes
[2026-04-03 00:11:32] Saving 2 values; 44 bytes
[2026-04-03 00:11:32] Saving 2 values; 44 bytes
[2026-04-03 00:12:58] Loaded 2 values
[2026-04-03 00:12:58] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 00:12:59] Saving 2 values; 44 bytes
[2026-04-03 00:15:57] Loaded 2 values
[2026-04-03 00:15:57] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 00:15:59] Saving 2 values; 44 bytes
[2026-04-03 00:16:00] Saving 2 values; 44 bytes
[2026-04-03 00:16:01] Saving 2 values; 44 bytes
[2026-04-03 00:16:59] Saving 2 values; 44 bytes
[2026-04-03 00:17:02] Saving 2 values; 44 bytes
[2026-04-03 00:17:03] Saving 2 values; 44 bytes
[2026-04-03 00:17:14] Saving 2 values; 44 bytes
[2026-04-03 00:17:14] Saving 2 values; 44 bytes
[2026-04-03 00:17:14] Saving 2 values; 44 bytes
[2026-04-03 00:17:14] Saving 2 values; 44 bytes
[2026-04-03 00:17:14] Saving 2 values; 44 bytes
[2026-04-03 00:17:59] Saving 2 values; 44 bytes
[2026-04-03 00:18:33] Saving 2 values; 44 bytes
[2026-04-03 00:18:33] Saving 2 values; 44 bytes
[2026-04-03 00:18:45] Saving 2 values; 44 bytes
[2026-04-03 00:18:45] Saving 2 values; 44 bytes
[2026-04-03 00:18:45] Saving 2 values; 44 bytes
[2026-04-03 00:18:54] Saving 2 values; 44 bytes
[2026-04-03 00:18:54] Saving 2 values; 44 bytes
[2026-04-03 00:18:59] Saving 2 values; 44 bytes
[2026-04-03 00:19:06] Saving 2 values; 44 bytes
[2026-04-03 00:19:06] Saving 2 values; 44 bytes
[2026-04-03 00:19:06] Saving 2 values; 44 bytes
[2026-04-03 00:19:39] Saving 2 values; 44 bytes
[2026-04-03 00:19:39] Saving 2 values; 44 bytes
[2026-04-03 00:19:51] Saving 2 values; 44 bytes
[2026-04-03 00:19:51] Saving 2 values; 44 bytes
[2026-04-03 00:19:51] Saving 2 values; 44 bytes
[2026-04-03 00:19:59] Saving 2 values; 44 bytes
[2026-04-03 00:20:59] Saving 2 values; 44 bytes
[2026-04-03 00:34:32] Loaded 2 values
[2026-04-03 00:34:32] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 00:34:35] Saving 2 values; 44 bytes
[2026-04-03 00:34:35] Saving 3 values; 71 bytes
[2026-04-03 00:34:36] Saving 3 values; 71 bytes
[2026-04-03 00:34:37] Saving 3 values; 71 bytes
[2026-04-03 00:34:38] Saving 3 values; 71 bytes
[2026-04-03 00:34:57] Saving 3 values; 71 bytes
[2026-04-03 00:34:59] Saving 3 values; 71 bytes
[2026-04-03 00:35:09] Saving 3 values; 71 bytes
[2026-04-03 00:35:09] Saving 3 values; 71 bytes
[2026-04-03 00:35:10] Saving 3 values; 71 bytes
