[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 09:55:43] Saving 2 values; 44 bytes
[2026-04-03 09:55:43] Saving 2 values; 44 bytes
[2026-04-03 09:55:44] Saving 2 values; 44 bytes
[2026-04-03 09:55:44] Saving 2 values; 44 bytes
[2026-04-03 09:55:46] Saving 2 values; 44 bytes
[2026-04-03 09:55:46] Saving 2 values; 44 bytes
[2026-04-03 09:55:47] Saving 2 values; 44 bytes
[2026-04-03 09:55:47] Saving 2 values; 44 bytes
[2026-04-03 09:55:48] Saving 2 values; 44 bytes
[2026-04-03 09:55:48] Saving 2 values; 44 bytes
[2026-04-03 09:55:48] Saving 2 values; 44 bytes
[2026-04-03 09:55:48] Saving 2 values; 44 bytes
[2026-04-03 09:55:49] Saving 2 values; 44 bytes
[2026-04-03 09:55:49] Saving 2 values; 44 bytes
[2026-04-03 09:55:49] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:55:50] Saving 2 values; 44 bytes
[2026-04-03 09:56:22] Saving 2 values; 44 bytes
[2026-04-03 09:56:24] Saving 2 values; 44 bytes
[2026-04-03 09:56:24] Saving 2 values; 44 bytes
[2026-04-03 09:57:07] Saving 2 values; 44 bytes
[2026-04-03 09:57:07] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:08] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
